Treatment,Timepoint,Replicate,BIM_mix,Escape_phage,Tracked_BIM,total_CFU,Strain,Titre
1,0,1,1,1,1,3600000,PFU,1600000
1,0,2,2,2,2,1500000,PFU,2400000
1,0,3,3,3,3,2.00E+06,PFU,2.00E+06
1,0,4,4,4,4,5100000,PFU,8.00E+05
1,0,5,5,5,5,3400000,PFU,1400000
1,0,6,6,6,6,2900000,PFU,8.00E+05
1,0,7,7,7,7,4500000,PFU,8.00E+05
1,0,8,8,8,8,3700000,PFU,8.00E+05
1,0,9,9,9,9,3.00E+06,PFU,140000
1,0,10,10,10,10,3400000,PFU,8.00E+05
1,0,11,11,11,11,3300000,PFU,8.00E+05
1,0,12,12,12,12,2300000,PFU,3.00E+05
1,0,13,13,13,13,1700000,PFU,1.00E+06
1,0,14,14,14,14,2200000,PFU,1400000
1,0,15,15,15,15,3400000,PFU,1.00E+05
1,0,16,16,16,16,6600000,PFU,1800000
1,0,17,17,17,17,1700000,PFU,1.00E+05
1,0,18,18,18,18,2500000,PFU,120000
1,0,19,19,19,19,1700000,PFU,120000
1,0,20,20,20,20,2100000,PFU,1.00E+05
1,0,21,21,21,21,2900000,PFU,160000
1,0,22,22,22,22,2400000,PFU,68000
1,0,23,23,23,23,2.00E+06,PFU,180000
1,0,24,24,24,24,1.00E+06,PFU,1.00E+05
1,1,1,1,1,1,6.10E+08,PFU,4.60E+09
1,1,2,2,2,2,5.90E+08,PFU,6.60E+08
1,1,3,3,3,3,5.70E+08,PFU,3.40E+09
1,1,4,4,4,4,5.60E+08,PFU,4.00E+09
1,1,5,5,5,5,1.74E+09,PFU,2.80E+09
1,1,6,6,6,6,1.16E+09,PFU,3.20E+09
1,1,7,7,7,7,2.08E+09,PFU,4.00E+09
1,1,8,8,8,8,3.00E+08,PFU,4.60E+09
1,1,9,9,9,9,9.70E+08,PFU,2.00E+09
1,1,10,10,10,10,1.80E+08,PFU,3.40E+09
1,1,11,11,11,11,6.00E+07,PFU,4.00E+09
1,1,12,12,12,12,2.50E+08,PFU,1.60E+09
1,1,13,13,13,13,5.40E+08,PFU,2.40E+09
1,1,14,14,14,14,3.60E+08,PFU,3.00E+09
1,1,15,15,15,15,5.50E+08,PFU,3.00E+09
1,1,16,16,16,16,5.10E+08,PFU,5.20E+09
1,1,17,17,17,17,2.00E+08,PFU,7.00E+08
1,1,18,18,18,18,2.60E+08,PFU,4.60E+09
1,1,19,19,19,19,1.90E+08,PFU,2.40E+08
1,1,20,20,20,20,7.00E+07,PFU,2.80E+09
1,1,21,21,21,21,1.60E+08,PFU,3.00E+09
1,1,22,22,22,22,1.80E+08,PFU,3.00E+09
1,1,23,23,23,23,1.50E+08,PFU,3.40E+09
1,1,24,24,24,24,3.00E+08,PFU,1.40E+09
1,2,1,1,1,1,1.89E+09,PFU,1.80E+07
1,2,2,2,2,2,5.90E+08,PFU,1.60E+07
1,2,3,3,3,3,4.20E+08,PFU,2.00E+07
1,2,4,4,4,4,2.60E+08,PFU,2.20E+07
1,2,5,5,5,5,5.20E+08,PFU,2.20E+07
1,2,6,6,6,6,1.90E+08,PFU,1.40E+07
1,2,7,7,7,7,8.70E+08,PFU,2.60E+07
1,2,8,8,8,8,1.28E+09,PFU,2.00E+07
1,2,9,9,9,9,3.00E+08,PFU,2.00E+07
1,2,10,10,10,10,4.90E+08,PFU,1.60E+07
1,2,11,11,11,11,1.60E+08,PFU,2.40E+07
1,2,12,12,12,12,3.72E+09,PFU,1.20E+07
1,2,13,13,13,13,3.00E+08,PFU,2.40E+07
1,2,14,14,14,14,2.10E+08,PFU,2.00E+07
1,2,15,15,15,15,4.10E+08,PFU,2.40E+07
1,2,16,16,16,16,6.60E+08,PFU,1.20E+08
1,2,17,17,17,17,2.60E+08,PFU,36000
1,2,18,18,18,18,5.00E+08,PFU,6.00E+06
1,2,19,19,19,19,2.70E+08,PFU,6200000
1,2,20,20,20,20,3.00E+08,PFU,2.20E+07
1,2,21,21,21,21,2.90E+08,PFU,3.00E+07
1,2,22,22,22,22,1.30E+08,PFU,1.40E+07
1,2,23,23,23,23,3.50E+08,PFU,2.80E+07
1,2,24,24,24,24,2.40E+08,PFU,1.40E+07
1,3,1,1,1,1,2.40E+08,PFU,240000
1,3,2,2,2,2,3.60E+08,PFU,220000
1,3,3,3,3,3,1.70E+08,PFU,160000
1,3,4,4,4,4,1.60E+08,PFU,220000
1,3,5,5,5,5,3.70E+08,PFU,60000
1,3,6,6,6,6,1.20E+08,PFU,120000
1,3,7,7,7,7,1.10E+08,PFU,340000
1,3,8,8,8,8,1.30E+08,PFU,220000
1,3,9,9,9,9,2.30E+08,PFU,260000
1,3,10,10,10,10,2.70E+08,PFU,380000
