Treatment,Timepoint,Replicate,BIM_mix,Escape_phage,Tracked_BIM,SM_count,CRISPR_count,BIM_count,white_count,dilution,SM_CFU,CRISPR_CFU,BIM_CFU,white_CFU,total_CFU,mSM,mCRISPR,mBIM,rCRISPR,rBIM
1,0,1,1,1,1,8,28,28,0,10000,8.00E+05,2800000,2800000,0,3600000,,,,,
1,0,2,2,2,2,9,6,6,0,10000,9.00E+05,6.00E+05,6.00E+05,0,1500000,,,,,
1,0,3,3,3,3,10,10,10,0,10000,1.00E+06,1.00E+06,1.00E+06,0,2.00E+06,,,,,
1,0,4,4,4,4,18,33,33,0,10000,1800000,3300000,3300000,0,5100000,,,,,
1,0,5,5,5,5,18,16,16,0,10000,1800000,1600000,1600000,0,3400000,,,,,
1,0,6,6,6,6,10,19,19,0,10000,1.00E+06,1900000,1900000,0,2900000,,,,,
1,0,7,7,7,7,14,31,31,0,10000,1400000,3100000,3100000,0,4500000,,,,,
1,0,8,8,8,8,15,22,22,0,10000,1500000,2200000,2200000,0,3700000,,,,,
1,0,9,9,9,9,20,10,10,0,10000,2.00E+06,1.00E+06,1.00E+06,0,3.00E+06,,,,,
1,0,10,10,10,10,14,20,20,0,10000,1400000,2.00E+06,2.00E+06,0,3400000,,,,,
1,0,11,11,11,11,18,15,15,0,10000,1800000,1500000,1500000,0,3300000,,,,,
1,0,12,12,12,12,11,12,12,0,10000,1100000,1200000,1200000,0,2300000,,,,,
1,0,13,13,13,13,9,8,8,0,10000,9.00E+05,8.00E+05,8.00E+05,0,1700000,,,,,
1,0,14,14,14,14,7,15,15,0,10000,7.00E+05,1500000,1500000,0,2200000,,,,,
1,0,15,15,15,15,12,22,22,0,10000,1200000,2200000,2200000,0,3400000,,,,,
1,0,16,16,16,16,23,43,43,0,10000,2300000,4300000,4300000,0,6600000,,,,,
1,0,17,17,17,17,8,9,9,0,10000,8.00E+05,9.00E+05,9.00E+05,0,1700000,,,,,
1,0,18,18,18,18,11,14,14,0,10000,1100000,1400000,1400000,0,2500000,,,,,
1,0,19,19,19,19,11,6,6,0,10000,1100000,6.00E+05,6.00E+05,0,1700000,,,,,
1,0,20,20,20,20,16,5,5,0,10000,1600000,5.00E+05,5.00E+05,0,2100000,,,,,
1,0,21,21,21,21,18,11,11,0,10000,1800000,1100000,1100000,0,2900000,,,,,
1,0,22,22,22,22,12,12,12,0,10000,1200000,1200000,1200000,0,2400000,,,,,
1,0,23,23,23,23,9,11,11,0,10000,9.00E+05,1100000,1100000,0,2.00E+06,,,,,
1,0,24,24,24,24,6,4,4,0,10000,6.00E+05,4.00E+05,4.00E+05,0,1.00E+06,,,,,
1,1,1,1,1,1,61,0,0,NA,1.00E+06,6.10E+08,1,1,0,6.10E+08,2.882239848,-6.447158031,-6.447158031,-9.329397879,-9.329397879
1,1,2,2,2,2,57,2,2,NA,1.00E+06,5.70E+08,2.00E+07,2.00E+07,0,5.90E+08,2.801632346,1.522878745,1.522878745,-1.278753601,-1.278753601
1,1,3,3,3,3,52,5,5,NA,1.00E+06,5.20E+08,5.00E+07,5.00E+07,0,5.70E+08,2.716003344,1.698970004,1.698970004,-1.017033339,-1.017033339
1,1,4,4,4,4,53,3,3,NA,1.00E+06,5.30E+08,3.00E+07,3.00E+07,0,5.60E+08,2.469003364,0.958607315,0.958607315,-1.51039605,-1.51039605
1,1,5,5,5,5,168,6,6,NA,1.00E+06,1.68E+09,6.00E+07,6.00E+07,0,1.74E+09,2.970036777,1.574031268,1.574031268,-1.396005509,-1.396005509
1,1,6,6,6,6,110,6,6,NA,1.00E+06,1.10E+09,6.00E+07,6.00E+07,0,1.16E+09,3.041392685,1.499397649,1.499397649,-1.541995036,-1.541995036
1,1,7,7,7,7,204,4,4,NA,1.00E+06,2.04E+09,4.00E+07,4.00E+07,0,2.08E+09,3.163502132,1.110698297,1.110698297,-2.052803834,-2.052803834
1,1,8,8,8,8,26,4,4,NA,1.00E+06,2.60E+08,4.00E+07,4.00E+07,0,3.00E+08,2.238882089,1.259637311,1.259637311,-0.979244778,-0.979244778
1,1,9,9,9,9,96,1,1,NA,1.00E+06,9.60E+08,1.00E+07,1.00E+07,0,9.70E+08,2.681241237,1,1,-1.681241237,-1.681241237
1,1,10,10,10,10,16,2,2,NA,1.00E+06,1.60E+08,2.00E+07,2.00E+07,0,1.80E+08,2.057991947,1,1,-1.057991947,-1.057991947
1,1,11,11,11,11,6,0,0,NA,1.00E+06,6.00E+07,1,1,0,6.00E+07,1.522878745,-6.176091259,-6.176091259,-7.698970004,-7.698970004
1,1,12,12,12,12,24,1,1,NA,1.00E+06,2.40E+08,1.00E+07,1.00E+07,0,2.50E+08,2.338818557,0.920818754,0.920818754,-1.417999803,-1.417999803
1,1,13,13,13,13,52,2,2,NA,1.00E+06,5.20E+08,2.00E+07,2.00E+07,0,5.40E+08,2.761760834,1.397940009,1.397940009,-1.363820826,-1.363820826
1,1,14,14,14,14,33,3,3,NA,1.00E+06,3.30E+08,3.00E+07,3.00E+07,0,3.60E+08,2.6734159,1.301029996,1.301029996,-1.372385904,-1.372385904
1,1,15,15,15,15,51,4,4,NA,1.00E+06,5.10E+08,4.00E+07,4.00E+07,0,5.50E+08,2.62838893,1.259637311,1.259637311,-1.36875162,-1.36875162
1,1,16,16,16,16,48,3,3,NA,1.00E+06,4.80E+08,3.00E+07,3.00E+07,0,5.10E+08,2.319513401,0.843652799,0.843652799,-1.475860602,-1.475860602
1,1,17,17,17,17,19,1,1,NA,1.00E+06,1.90E+08,1.00E+07,1.00E+07,0,2.00E+08,2.375663614,1.045757491,1.045757491,-1.329906123,-1.329906123
