Metadata,,,,Phage,,
Treatment,Timepoint,Replicate,Genotype,phage_count,phage_dilution,PFU
3,1,1,1,31,1.00E+04,6.20E+07
3,1,1,2,5,1.00E+05,1.00E+08
3,1,1,3,12,1.00E+04,2.40E+07
3,1,2,4,12,1.00E+05,2.40E+08
3,1,2,5,28,1.00E+04,5.60E+07
3,1,2,6,5,1.00E+05,1.00E+08
3,1,3,7,21,1.00E+04,4.20E+07
3,1,3,8,5,1.00E+05,1.00E+08
3,1,3,9,9,1.00E+05,1.80E+08
3,1,4,10,17,1.00E+03,3.40E+06
3,1,4,11,20,1.00E+03,4.00E+06
3,1,4,12,30,1.00E+03,6.00E+06
3,1,5,13,12,1.00E+05,2.40E+08
3,1,5,14,13,1.00E+05,2.60E+08
3,1,5,15,28,1.00E+04,5.60E+07
3,1,6,16,10,1.00E+05,2.00E+08
3,1,6,17,7,1.00E+04,1.40E+07
3,1,6,18,12,1.00E+05,2.40E+08
6,1,5,13,4,1.00E+04,8.00E+06
6,1,6,13,25,1.00E+01,5.00E+04
12,1,5,13,13,1.00E+02,2.60E+05
12,1,6,13,15,10,3.00E+04
6,2,5,14,42,100,8.40E+05
6,2,6,14,50,1.00E+01,1.00E+05
3,2,1,1,28,1.00E+03,5.60E+06
3,2,1,2,28,1.00E+03,5.60E+06
3,2,1,3,20,1.00E+03,4.00E+06
6,3,5,14,60,10,1.20E+05
6,3,6,14,6,10,1.20E+04
6,1,5,15,15,1.00E+03,3.00E+06
6,1,6,15,80,1.00E+01,1.60E+05
6,3,5,15,4,1.00E+02,8.00E+04
6,3,6,15,7,1.00E+01,1.40E+04
3,3,1,1,28,1.00E+02,5.60E+05
3,3,1,2,15,1.00E+02,3.00E+05
3,3,1,3,12,1.00E+02,2.40E+05
6,1,5,16,6,1.00E+04,1.20E+07
3,1,7,20,5,1.00E+03,1.00E+06
6,1,6,16,34,1.00E+02,6.80E+05
3,2,2,4,10,1.00E+04,2.00E+07
3,2,2,5,8,1.00E+05,1.60E+08
3,2,2,6,10,1.00E+05,2.00E+08
3,2,3,7,12,1.00E+04,2.40E+07
3,2,3,8,17,1.00E+03,3.40E+06
3,2,3,9,21,1.00E+03,4.20E+06
3,2,4,10,23,1.00E+02,4.60E+05
3,2,4,11,5,1.00E+03,1.00E+06
3,2,4,12,60,1.00E+01,1.20E+05
12,1,7,13,12,10,2.40E+04
3,2,5,14,18,1.00E+03,3.60E+06
3,2,5,15,10,1.00E+04,2.00E+07
3,2,6,16,7,1.00E+03,1.40E+06
3,2,6,17,19,1.00E+03,3.80E+06
3,2,6,18,10,1.00E+03,2.00E+06
3,1,8,22,4,1.00E+05,8.00E+07
3,3,2,4,21,1.00E+02,4.20E+05
3,3,2,5,33,1.00E+03,6.60E+06
3,3,2,6,10,1.00E+04,2.00E+07
3,3,3,7,16,1.00E+02,3.20E+05
3,3,3,8,50,1.00E+01,1.00E+05
3,3,3,9,9,1.00E+01,1.80E+04
3,3,4,10,15,1.00E+02,3.00E+05
3,3,4,11,50,1.00E+02,1.00E+06
3,3,4,12,20,1.00E+00,4.00E+03
12,1,8,13,7,10,1.40E+04
3,3,5,14,21,1.00E+01,4.20E+04
3,3,5,15,2,1.00E+02,4.00E+04
3,3,6,16,21,1.00E+01,4.20E+04
3,3,6,17,4,1.00E+02,8.00E+04
3,3,6,18,33,1.00E+01,6.60E+04
3,1,8,23,33,1.00E+04,6.60E+07
3,1,8,24,24,1.00E+04,4.80E+07
6,1,1,4,11,1.00E+04,2.20E+07
6,1,1,5,28,1.00E+03,5.60E+06
6,1,1,6,5,1.00E+04,1.00E+07
6,1,3,7,1.00E+01,1.00E+02,2.00E+05
6,1,3,8,19,1.00E+02,3.80E+05
6,1,3,9,5,1.00E+03,1.00E+06
6,1,3,10,26,1.00E+01,5.20E+04
6,1,3,11,12,1.00E+03,2.40E+06
6,1,3,12,2,1.00E+02,4.00E+04
6,2,5,13,23,1.00E+03,4.60E+06
6,1,5,14,17,1.00E+04,3.40E+07
6,2,5,16,25,1.00E+02,5.00E+05
6,2,6,16,8,100,1.60E+05
6,3,5,16,1,1.00E+02,2.00E+04
6,3,6,16,27,1.00E+01,5.40E+04
6,1,2,4,14,1.00E+04,2.80E+07
6,1,2,5,22,1.00E+03,4.40E+06
6,1,2,6,26,1.00E+03,5.20E+06
6,1,4,7,10,1.00E+02,2.00E+05
6,1,4,8,2,1.00E+02,4.00E+04
6,1,4,9,3,1.00E+03,6.00E+05
6,1,4,10,2,1.00E+03,4.00E+05
6,1,4,11,11,1.00E+01,2.20E+04
6,1,4,12,50,1.00E+01,1.00E+05
6,2,6,13,80,1.00E+00,1.60E+04
6,1,6,14,20,1.00E+02,4.00E+05
6,1,5,17,35,1.00E+02,7.00E+05
6,1,6,17,2,1.00E+02,4.00E+04
6,2,5,17,80,1.00E+01,1.60E+05
6,2,6,17,4,1.00E+01,8.00E+03
6,1,7,20,7,1.00E+02,1.40E+05
6,1,8,20,7,1.00E+03,1.40E+06
6,1,1,1,20,1.00E+04,4.00E+07
6,1,1,2,13,1.00E+04,2.60E+07
6,1,1,3,5,1.00E+03,1.00E+06
6,1,2,1,31,1.00E+04,6.20E+07
6,1,2,2,5,1.00E+04,1.00E+07
6,1,2,3,30,1.00E+02,6.00E+05
6,3,5,17,20,1.00E+00,4.00E+03
6,3,6,17,0,0.00E+00,0.00E+00
6,1,5,18,6,1.00E+04,1.20E+07
6,1,6,18,4,1.00E+03,8.00E+05
6,2,5,18,10,1.00E+03,2.00E+06
6,2,6,18,12,1.00E+03,2.40E+06
6,3,5,18,5,1.00E+02,1.00E+05
6,3,6,18,33,1.00E+01,6.60E+04
3,1,7,19,16,1.00E+01,3.20E+04
6,1,7,19,10,1.00E+01,2.00E+04
6,1,8,19,3,1.00E+02,6.00E+04
12,1,5,19,4,1.00E+02,8.00E+04
6,2,1,1,8,1.00E+03,1.60E+06
6,2,1,2,5,1.00E+03,1.00E+06
6,2,1,3,8,1.00E+01,1.60E+04
6,2,2,1,10,1.00E+03,2.00E+06
6,2,2,2,5,1.00E+03,1.00E+06
6,2,2,3,13,1.00E+00,2.60E+03
12,1,6,19,10,1.00E+01,2.00E+04
12,1,7,19,6,1.00E+01,1.20E+04
12,1,8,19,17,1.00E+01,3.40E+04
3,2,7,19,5,1.00E+00,1.00E+03
6,2,7,19,3,1.00E+00,6.00E+02
6,2,8,19,40,1.00E+01,8.00E+04
12,2,5,19,6,1.00E+01,1.20E+04
12,2,6,19,0,1.00E+00,0.00E+00
12,2,7,19,1,1.00E+00,2.00E+02
12,2,8,19,3,1.00E+00,6.00E+02
3,3,7,19,5,1.00E+00,1.00E+03
