"Treatment","Timepoint","Replicate","BIM_mix","Escape_phage","Tracked_BIM","total_CFU","Strain","Titre"
"3","0","1","1-3",1,"1",1800000,"PFU",1e+06
"3","0","2","4-6",4,"4",1500000,"PFU",2200000
"3","0","3","7-9",7,"7",3e+06,"PFU",340000
"3","0","4","10-13",10,"10",1500000,"PFU",1200000
"3","0","5","14-16",13,"13",1200000,"PFU",1e+06
"3","0","6","17-19",16,"19",2200000,"PFU",1400000
"3","0","7","19-21",19,"19",2100000,"PFU",8e+05
"3","0","8","22-24",22,"22",2e+06,"PFU",1400000
"3","1","1","1-3",1,"1",2.59e+09,"PFU",4e+09
"3","1","2","4-6",4,"4",4.03e+09,"PFU",3e+09
"3","1","3","7-9",7,"7",1.46e+09,"PFU",3e+09
"3","1","4","10-13",10,"10",1.5e+09,"PFU",3.2e+07
"3","1","5","14-16",13,"13",1.01e+09,"PFU",4e+09
"3","1","6","17-19",16,"19",1.34e+09,"PFU",1.2e+10
"3","1","7","19-21",19,"19",7.3e+08,"PFU",1.4e+07
"3","1","8","22-24",22,"22",1.19e+09,"PFU",4e+09
"3","2","1","1-3",1,"1",2.24e+09,"PFU",1.8e+08
"3","2","2","4-6",4,"4",1.92e+09,"PFU",2e+09
"3","2","3","7-9",7,"7",7.3e+08,"PFU",3.2e+08
"3","2","4","10-13",10,"10",9e+08,"PFU",1.6e+07
"3","2","5","14-16",13,"13",1.37e+09,"PFU",2e+08
"3","2","6","17-19",16,"19",6.8e+08,"PFU",2.4e+07
"3","2","7","19-21",19,"19",7.3e+08,"PFU",260000
"3","2","8","22-24",22,"22",7e+08,"PFU",2e+08
"3","3","1","1-3",1,"1",5e+08,"PFU",5e+06
"3","3","2","4-6",4,"4",340000001,"PFU",5.8e+07
"3","3","3","7-9",7,"7",4.1e+08,"PFU",2200000
"3","3","4","10-13",10,"10",6.8e+08,"PFU",520000
"3","3","5","14-16",13,"13",5.7e+08,"PFU",560000
"3","3","6","17-19",16,"19",6.3e+08,"PFU",440000
"3","3","7","19-21",19,"19",2.36e+09,"PFU",3200
"3","3","8","22-24",22,"22",7.8e+08,"PFU",2200000
"6","0","1","1-6",1,"1",2e+06,"PFU",8e+05
"6","0","2","1-6",4,"4",1900000,"PFU",1e+06
