Metadata,,,,,,,Phage,,,Bacteria counts,,,,Bacteria CFU,,,,ln(Malthusian parameters),,,Selection rate constants,
Treatment,Timepoint,Replicate,BIM_mix,Phage)mix,Escape_phage,Tracked_BIM,phage_count,phage_dilution,PFU,SM_count,CRISPR_count,BIM_count,dilution,SM_CFU,CRISPR_CFU,BIM_CFU,total_CFU,mSM,mCRISPR,mBIM,rCRISPR,rBIM
3,0,1,1-3,1-3,1,1,5,1.00E+03,1000000,6,12,8,1.00E+04,600000,1200000,800000,1800000,,,,0,0
3,0,2,4-6,4-6,4,4,11,1.00E+03,2200000,9,6,14,1.00E+04,900000,600000,1400000,1500000,,,,0,0
3,0,3,7-9,7-9,7,7,17,1.00E+02,340000,4,26,12,1.00E+04,400000,2600000,1200000,3000000,,,,0,0
3,0,4,10-13,10-13,10,10,6,1.00E+03,1200000,6,9,6,1.00E+04,600000,900000,600000,1500000,,,,0,0
3,0,5,14-16,14-16,13,13,5,1.00E+03,1000000,6,6,4,1.00E+04,600000,600000,400000,1200000,,,,0,0
3,0,6,17-19,17-19,16,19,7,1.00E+03,1400000,4,18,12,1.00E+04,400000,1800000,1200000,2200000,,,,0,0
3,0,7,19-21,19-21,19,19,4,1.00E+03,800000,4,17,5,1.00E+04,400000,1700000,500000,2100000,,,,0,0
3,0,8,22-24,22-24,22,22,7,1.00E+03,1400000,3,17,10,1.00E+04,300000,1700000,1000000,2000000,,,,0,0
3,1,1,1-3,1-3,1,1,20,1.00E+06,4000000000,206,53,23,1.00E+06,2.06E+09,530000000,230000000,2590000000,3.53571597,2.645094624,2.458637849,-0.890621346,-0.186456775
3,1,2,4-6,4-6,4,4,15,1.00E+06,3000000000,364,39,15,1.00E+06,3640000000,390000000,150000000,4030000000,3.606858874,2.812913357,2.029963223,-0.793945518,-0.782950133
3,1,3,7-9,7-9,7,7,15,1.00E+06,3000000000,105,41,29,1.00E+06,1050000000,410000000,290000000,1460000000,3.419129308,2.197810509,2.383216752,-1.221318799,0.185406243
3,1,4,10-13,10-13,10,10,16,1.00E+04,32000000,114,36,13,1.00E+06,1140000000,360000000,130000000,1500000000,3.278753601,2.602059991,2.335792102,-0.67669361,-0.266267889
3,1,5,14-16,14-16,13,13,20,1.00E+06,4000000000,87,14,15,1.00E+06,870000000,140000000,150000000,1010000000,3.161368002,2.367976785,2.574031268,-0.793391217,0.206054482
3,1,6,17-19,17-19,16,19,6,1.00E+07,12000000000,110,24,9,1.00E+06,1100000000,240000000,90000000,1340000000,3.439332694,2.124938737,1.875061263,-1.314393957,-0.249877473
3,1,7,19-21,19-21,19,19,7,1.00E+04,14000000,68,5,1,1.00E+06,680000000,50000000,10000000,730000000,3.230448921,1.468521083,1.301029996,-1.761927838,-0.167491087
3,1,8,22-24,22-24,22,22,20,1.00E+06,4000000000,95,24,7,1.00E+06,950000000,240000000,70000000,1190000000,3.500602351,2.14976232,1.84509804,-1.35084003,-0.30466428
3,2,1,1-3,1-3,1,1,16,1.00E+05,180000000,214,10,1,1.00E+06,2140000000,100000000,10000000,2240000000,0.016546553,-0.72427587,-1.361727836,-0.740822423,-0.637451966
3,2,2,4-6,4-6,4,4,7,1.00E+06,2000000000,184,8,1,1.00E+06,1840000000,80000000,10000000,1920000000,-0.296283561,-0.68797462,-1.176091259,-0.391691059,-0.488116639
3,2,3,7-9,7-9,7,7,7,1.00E+05,320000000,65,8,4,1.00E+06,650000000,80000000,40000000,730000000,-0.208275942,-0.70969387,-0.860338007,-0.501417927,-0.150644137
3,2,4,10-13,10-13,10,10,8,1.00E+04,16000000,84,6,1,1.00E+06,840000000,60000000,10000000,900000000,-0.132625565,-0.77815125,-1.113943352,-0.645525685,-0.335792102
3,2,5,14-16,14-16,13,13,10,1.00E+05,200000000,132,5,3,1.00E+06,1320000000,50000000,30000000,1370000000,0.181054679,-0.447158031,-0.698970004,-0.62821271,-0.251811973
3,2,6,17-19,17-19,16,19,18,1.00E+04,24000000,64,4,2,1.00E+06,640000000,40000000,20000000,680000000,-0.235212711,-0.77815125,-0.653212514,-0.542938539,0.124938737
3,2,7,19-21,19-21,19,19,13,1.00E+02,260000,72,1,2,1.00E+06,720000000,10000000,20000000,730000000,0.024823584,-0.698970004,0.301029996,-0.723793588,1
3,2,8,22-24,22-24,22,22,10,1.00E+05,200000000,66,4,1,1.00E+06,660000000,40000000,10000000,700000000,-0.15817967,-0.77815125,-0.84509804,-0.619971581,-0.06694679
3,3,1,1-3,1-3,1,1,25,1.00E+03,5000000,49,1,1,1.00E+06,490000000,10000000,10000000,500000000,-0.640217693,-1,0,-0.359782307,1
3,3,2,4-6,4-6,4,4,29,1.00E+04,58000000,34,0,0,1.00E+06,340000000,1,1,340000001,-0.733338906,-7.903089987,-7,-7.169751081,0.903089987
3,3,3,7-9,7-9,7,7,11,1.00E+03,2200000,38,3,5,1.00E+06,380000000,30000000,50000000,410000000,-0.23312976,-0.425968732,0.096910013,-0.192838972,0.522878745
3,3,4,10-13,10-13,10,10,26,1.00E+02,520000,66,2,1,1.00E+06,660000000,20000000,10000000,680000000,-0.104735351,-0.477121255,0,-0.372385904,0.477121255
