Metadata,,,,Phage,,,Bacteria counts,,,,Bacteria CFU,,,,ln(Malthusian parameters),,,Selection rate constants,
Diversity,Phage,Timepoint,Replicate,phage_count,phage_dilution,PFU,SM_count,CRISPR_count,BIM_count,dilution,SM_CFU,CRISPR_CFU,BIM_CFU,total_CFU,mSM,mCRISPR,mBIM,rCRISPR,rBIM
3,mono,0,1,23,1.00E+03,4600000,,,,,,,,,,,,,
3,mono,0,2,15,1.00E+03,3000000,,,,,,,,,,,,,
3,mono,0,3,20,1.00E+03,4000000,,,,,,,,,,,,,
3,mono,0,4,5,1.00E+03,1000000,,,,,,,,,,,,,
3,mono,0,5,12,1.00E+03,2400000,,,,,,,,,,,,,
3,mono,0,6,18,1.00E+03,3600000,,,,,,,,,,,,,
3,mono,0,7,9,1.00E+03,1800000,,,,,,,,,,,,,
3,mono,0,8,4,1.00E+03,800000,,,,,,,,,,,,,
3,mono,0,9,7,1.00E+03,1400000,,,,,,,,,,,,,
3,mono,0,10,9,1.00E+03,1800000,,,,,,,,,,,,,
3,mono,0,11,9,1.00E+03,1800000,,,,,,,,,,,,,
3,mono,0,12,11,1.00E+03,2200000,,,,,,,,,,,,,
3,mono,0,13,10,1.00E+03,2000000,,,,,,,,,,,,,
3,mono,0,14,12,1.00E+03,2400000,,,,,,,,,,,,,
3,mono,0,15,6,1.00E+03,1200000,,,,,,,,,,,,,
3,mono,0,16,10,1.00E+03,2000000,,,,,,,,,,,,,
3,poly,0,1,7,1.00E+03,1400000,,,,,,,,,,,,,
3,poly,0,2,6,1.00E+03,1200000,,,,,,,,,,,,,
3,poly,0,3,10,1.00E+03,2000000,,,,,,,,,,,,,
3,poly,0,4,15,1.00E+03,3000000,,,,,,,,,,,,,
3,poly,0,5,5,1.00E+03,1000000,,,,,,,,,,,,,
3,poly,0,6,14,1.00E+03,2800000,,,,,,,,,,,,,
3,poly,0,7,7,1.00E+03,1400000,,,,,,,,,,,,,
3,poly,0,8,9,1.00E+03,1800000,,,,,,,,,,,,,
3,poly,0,9,10,1.00E+03,2000000,,,,,,,,,,,,,
3,poly,0,10,10,1.00E+03,2000000,,,,,,,,,,,,,
3,poly,0,11,10,1.00E+03,2000000,,,,,,,,,,,,,
3,poly,0,12,15,1.00E+03,3000000,,,,,,,,,,,,,
3,poly,0,13,12,1.00E+03,2400000,,,,,,,,,,,,,
3,poly,0,14,12,1.00E+03,2400000,,,,,,,,,,,,,
3,poly,0,15,5,1.00E+03,1000000,,,,,,,,,,,,,
3,poly,0,16,2,1.00E+03,400000,,,,,,,,,,,,,
6,mono,0,1,6,1.00E+03,1200000,,,,,,,,,,,,,
6,mono,0,2,5,1.00E+03,1000000,,,,,,,,,,,,,
6,mono,0,3,12,1.00E+03,2400000,,,,,,,,,,,,,
6,mono,0,4,14,1.00E+03,2800000,,,,,,,,,,,,,
6,mono,0,5,9,1.00E+03,1800000,,,,,,,,,,,,,
6,mono,0,6,20,1.00E+03,4000000,,,,,,,,,,,,,
6,mono,0,7,7,1.00E+03,1400000,,,,,,,,,,,,,
6,mono,0,8,5,1.00E+03,1000000,,,,,,,,,,,,,
6,mono,0,9,15,1.00E+03,3000000,,,,,,,,,,,,,
6,mono,0,10,8,1.00E+03,1600000,,,,,,,,,,,,,
6,mono,0,11,7,1.00E+03,1400000,,,,,,,,,,,,,
6,mono,0,12,10,1.00E+03,2000000,,,,,,,,,,,,,
6,mono,0,13,5,1.00E+03,1000000,,,,,,,,,,,,,
6,mono,0,14,10,1.00E+03,2000000,,,,,,,,,,,,,
6,mono,0,15,11,1.00E+03,2200000,,,,,,,,,,,,,
6,mono,0,16,13,1.00E+03,2600000,,,,,,,,,,,,,
6,poly,0,1,15,1.00E+03,3000000,,,,,,,,,,,,,
